obj1,imgl1,imgr1,obj2,imgl2,imgr2,obj3,imgl3,imgr3,obj4,imgl4,imgr4,obj5,imgl5,imgr5,obj6,imgl6,imgr6
plate,https://291i.s3.amazonaws.com/gamma/000420_plate.png,https://291i.s3.amazonaws.com/gd4v/000420_plate.png,pencil,https://291i.s3.amazonaws.com/gamma/000420_pencil.png,https://291i.s3.amazonaws.com/omega/000420_pencil.png,cat,https://291i.s3.amazonaws.com/gd4v/000007_cat.png,https://291i.s3.amazonaws.com/gamma/000007_cat.png,shoes,https://291i.s3.amazonaws.com/gd4v/000091_shoes.png,https://291i.s3.amazonaws.com/gamma/000091_shoes.png,book,https://291i.s3.amazonaws.com/gamma/001190_book.png,https://291i.s3.amazonaws.com/gd4v/001190_book.png,cat,https://291i.s3.amazonaws.com/gd4v/000826_cat.png,https://291i.s3.amazonaws.com/gamma/000826_cat.png
plate,https://291i.s3.amazonaws.com/gamma/000455_plate.png,https://291i.s3.amazonaws.com/gd4v/000455_plate.png,computer,https://291i.s3.amazonaws.com/gamma/000308_computer.png,https://291i.s3.amazonaws.com/omega/000308_computer.png,cake,https://291i.s3.amazonaws.com/gd4v/001393_cake.png,https://291i.s3.amazonaws.com/gamma/001393_cake.png,vase,https://291i.s3.amazonaws.com/gamma/000007_vase.png,https://291i.s3.amazonaws.com/gd4v/000007_vase.png,painting,https://291i.s3.amazonaws.com/gd4v/001183_painting.png,https://291i.s3.amazonaws.com/gamma/001183_painting.png,bag,https://291i.s3.amazonaws.com/gamma/001386_bag.png,https://291i.s3.amazonaws.com/gd4v/001386_bag.png
painting,https://291i.s3.amazonaws.com/gamma/000308_painting.png,https://291i.s3.amazonaws.com/gd4v/000308_painting.png,bag,https://291i.s3.amazonaws.com/omega/000448_bag.png,https://291i.s3.amazonaws.com/gamma/000448_bag.png,painting,https://291i.s3.amazonaws.com/gamma/000357_painting.png,https://291i.s3.amazonaws.com/gd4v/000357_painting.png,painting,https://291i.s3.amazonaws.com/gd4v/000805_painting.png,https://291i.s3.amazonaws.com/gamma/000805_painting.png,bag,https://291i.s3.amazonaws.com/gamma/000588_bag.png,https://291i.s3.amazonaws.com/gd4v/000588_bag.png,cake,https://291i.s3.amazonaws.com/gamma/000308_cake.png,https://291i.s3.amazonaws.com/gd4v/000308_cake.png
painting,https://291i.s3.amazonaws.com/gd4v/000161_painting.png,https://291i.s3.amazonaws.com/gamma/000161_painting.png,stool,https://291i.s3.amazonaws.com/gd4v/001435_stool.png,https://291i.s3.amazonaws.com/gamma/001435_stool.png,cat,https://291i.s3.amazonaws.com/gamma/000910_cat.png,https://291i.s3.amazonaws.com/gd4v/000910_cat.png,shoes,https://291i.s3.amazonaws.com/gamma/000308_shoes.png,https://291i.s3.amazonaws.com/omega/000308_shoes.png,cup,https://291i.s3.amazonaws.com/gamma/001218_cup.png,https://291i.s3.amazonaws.com/gd4v/001218_cup.png,book,https://291i.s3.amazonaws.com/gd4v/001239_book.png,https://291i.s3.amazonaws.com/gamma/001239_book.png
cushion,https://291i.s3.amazonaws.com/gd4v/001225_cushion.png,https://291i.s3.amazonaws.com/gamma/001225_cushion.png,painting,https://291i.s3.amazonaws.com/gd4v/001057_painting.png,https://291i.s3.amazonaws.com/gamma/001057_painting.png,cake,https://291i.s3.amazonaws.com/gamma/000203_cake.png,https://291i.s3.amazonaws.com/gd4v/000203_cake.png,cake,https://291i.s3.amazonaws.com/gd4v/000560_cake.png,https://291i.s3.amazonaws.com/gamma/000560_cake.png,pencil,https://291i.s3.amazonaws.com/omega/000315_pencil.png,https://291i.s3.amazonaws.com/gamma/000315_pencil.png,cake,https://291i.s3.amazonaws.com/gd4v/000756_cake.png,https://291i.s3.amazonaws.com/gamma/000756_cake.png
cup,https://291i.s3.amazonaws.com/gd4v/001344_cup.png,https://291i.s3.amazonaws.com/gamma/001344_cup.png,book,https://291i.s3.amazonaws.com/gamma/000420_book.png,https://291i.s3.amazonaws.com/omega/000420_book.png,book,https://291i.s3.amazonaws.com/gamma/001015_book.png,https://291i.s3.amazonaws.com/gd4v/001015_book.png,book,https://291i.s3.amazonaws.com/gd4v/000350_book.png,https://291i.s3.amazonaws.com/gamma/000350_book.png,apple,https://291i.s3.amazonaws.com/gamma/001015_apple.png,https://291i.s3.amazonaws.com/gd4v/001015_apple.png,cushion,https://291i.s3.amazonaws.com/gamma/000336_cushion.png,https://291i.s3.amazonaws.com/gd4v/000336_cushion.png
cup,https://291i.s3.amazonaws.com/gamma/000336_cup.png,https://291i.s3.amazonaws.com/gd4v/000336_cup.png,vase,https://291i.s3.amazonaws.com/gd4v/000896_vase.png,https://291i.s3.amazonaws.com/gamma/000896_vase.png,bag,https://291i.s3.amazonaws.com/gd4v/000336_bag.png,https://291i.s3.amazonaws.com/gamma/000336_bag.png,painting,https://291i.s3.amazonaws.com/gd4v/000126_painting.png,https://291i.s3.amazonaws.com/gamma/000126_painting.png,book,https://291i.s3.amazonaws.com/gamma/000084_book.png,https://291i.s3.amazonaws.com/gd4v/000084_book.png,cake,https://291i.s3.amazonaws.com/omega/000126_cake.png,https://291i.s3.amazonaws.com/gamma/000126_cake.png
painting,https://291i.s3.amazonaws.com/gamma/000196_painting.png,https://291i.s3.amazonaws.com/omega/000196_painting.png,cat,https://291i.s3.amazonaws.com/gamma/000420_cat.png,https://291i.s3.amazonaws.com/gd4v/000420_cat.png,painting,https://291i.s3.amazonaws.com/gamma/000952_painting.png,https://291i.s3.amazonaws.com/gd4v/000952_painting.png,bag,https://291i.s3.amazonaws.com/gd4v/000945_bag.png,https://291i.s3.amazonaws.com/gamma/000945_bag.png,cat,https://291i.s3.amazonaws.com/gamma/000182_cat.png,https://291i.s3.amazonaws.com/gd4v/000182_cat.png,stool,https://291i.s3.amazonaws.com/gamma/000420_stool.png,https://291i.s3.amazonaws.com/gd4v/000420_stool.png
shoes,https://291i.s3.amazonaws.com/gamma/000014_shoes.png,https://291i.s3.amazonaws.com/gd4v/000014_shoes.png,pencil,https://291i.s3.amazonaws.com/gd4v/001253_pencil.png,https://291i.s3.amazonaws.com/gamma/001253_pencil.png,cat,https://291i.s3.amazonaws.com/gd4v/001148_cat.png,https://291i.s3.amazonaws.com/gamma/001148_cat.png,painting,https://291i.s3.amazonaws.com/gd4v/000266_painting.png,https://291i.s3.amazonaws.com/gamma/000266_painting.png,cup,https://291i.s3.amazonaws.com/omega/000749_cup.png,https://291i.s3.amazonaws.com/gamma/000749_cup.png,cup,https://291i.s3.amazonaws.com/gd4v/000560_cup.png,https://291i.s3.amazonaws.com/gamma/000560_cup.png
apple,https://291i.s3.amazonaws.com/gd4v/000777_apple.png,https://291i.s3.amazonaws.com/gamma/000777_apple.png,cat,https://291i.s3.amazonaws.com/gamma/001246_cat.png,https://291i.s3.amazonaws.com/gd4v/001246_cat.png,stool,https://291i.s3.amazonaws.com/gamma/001246_stool.png,https://291i.s3.amazonaws.com/gd4v/001246_stool.png,cushion,https://291i.s3.amazonaws.com/gamma/000588_cushion.png,https://291i.s3.amazonaws.com/gd4v/000588_cushion.png,cup,https://291i.s3.amazonaws.com/gamma/000308_cup.png,https://291i.s3.amazonaws.com/omega/000308_cup.png,bag,https://291i.s3.amazonaws.com/gamma/000238_bag.png,https://291i.s3.amazonaws.com/gd4v/000238_bag.png
